Order_Date,Year,Month,Day,Day_Of_Week,Quarter,Customer_Age,Customer_Gender,Country,City,Customer_Segment,Product_Category,Product_Subcategory,Brand,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Coupon_Used,Shipping_Cost,Tax_Amount,Order_Amount,Payment_Method,Device_Type,Traffic_Source,Membership_Status,Shipping_Method,Warehouse_Region,Delivery_Days,Order_Status,Returned,Review_Rating,Customer_Lifetime_Value,Profit_Margin_Percent,Profit_Amount,Season,Holiday_Season,High_Value_Order,prediction
2024-05-03,2024,5,3,Friday,2,18,Female,Saudi Arabia,Dubai,Loyal,Groceries,Fresh Produce,Zenith,24.44,3,20,14.66,Yes,6.8,5.53,70.99,Cash on Delivery,Tablet,Organic Search,Silver,Standard,Central,6,Delivered,No,3.1,1169.33,30.61,21.73,Spring,No,No,No
2024-05-03,2024,5,3,Friday,2,20,Female,France,Paris,Loyal,Beauty,Makeup,UrbanCo,36.55,3,30,32.89,Yes,23.32,3.9,103.98,Wallet,Mobile,Paid Ads,Silver,Same Day,North,0,Shipped,No,3.8,2827.12,23.12,24.04,Spring,No,No,No
2024-05-03,2024,5,3,Friday,2,24,Female,Pakistan,London,Loyal,Groceries,Beverages,Nova,21.45,3,0,0,Yes,10.49,5.03,79.87,Debit Card,Mobile,Social Media,Standard,Standard,East,9,Cancelled,No,4.3,1621.43,24.34,19.44,Spring,No,No,No
2024-05-04,2024,5,4,Saturday,2,28,Female,France,New York,Returning,Fashion,Men Clothing,FreshMart,72.5,2,0,0,No,5.56,14.87,165.43,Cash on Delivery,Desktop,Direct,Standard,Standard,North,6,Processing,No,3.8,2158.76,30.41,50.31,Spring,No,No,No
2024-05-04,2024,5,4,Saturday,2,34,Male,Australia,Sydney,Premium,Electronics,Accessories,Apex,571.5,6,0,0,No,15.04,150.47,3594.51,PayPal,Mobile,Paid Ads,Silver,Standard,South,4,Processing,No,4.5,50000,16.65,598.49,Spring,No,Yes,Yes
2024-05-04,2024,5,4,Saturday,2,20,Female,India,Paris,New,Toys,Action Figures,Zenith,19.27,4,20,15.42,Yes,8.07,4.85,74.58,Bank Transfer,Mobile,Referral,Silver,Standard,Central,7,Delivered,No,4,504.43,21.98,16.39,Spring,No,No,No
2024-05-04,2024,5,4,Saturday,2,38,Male,UAE,Berlin,Loyal,Groceries,Fresh Produce,UrbanCo,22.09,3,15,9.94,Yes,9.14,3.66,69.13,Bank Transfer,Mobile,Social Media,Standard,Standard,South,5,Delivered,No,3.7,1311.34,15.26,10.55,Spring,No,No,No
2024-05-05,2024,5,5,Sunday,2,38,Female,Pakistan,Mumbai,Returning,Home & Kitchen,Appliances,QuickCart,283.41,6,10,170.05,Yes,16.7,186.65,1733.76,Cash on Delivery,Mobile,Direct,Gold,Express,South,6,Delivered,No,4.3,11016.11,23.9,414.37,Spring,No,Yes,Yes
2024-05-05,2024,5,5,Sunday,2,33,Female,Australia,Karachi,New,Electronics,Headphones,QuickCart,595.61,3,10,178.68,Yes,16.04,204.65,1828.84,Bank Transfer,Mobile,Paid Ads,Standard,Express,North,4,Cancelled,No,4.6,16715.51,12.03,220.01,Spring,No,Yes,Yes
2024-05-05,2024,5,5,Sunday,2,18,Male,Canada,Dubai,Returning,Home & Kitchen,Decor,UrbanCo,104.9,2,20,41.96,Yes,4.13,17.19,189.16,PayPal,Tablet,Organic Search,Standard,Standard,North,6,Processing,No,3.2,286.71,24.48,46.31,Spring,No,No,No
