returned,customer_gender,country,customer_segment,product_category,product_subcategory,brand,payment_method,device_type,traffic_source,membership_status,shipping_method,warehouse_region,season,holiday_season,day_of_week,quarter,customer_age,unit_price,quantity,discount_percent,discount_amount,shipping_cost,tax_amount,order_amount,delivery_days,review_rating,customer_lifetime_value,profit_margin_percent,profit_amount,high_value_order,order_year,order_month,order_day,order_dow,return_prediction
0,male,india,returning,beauty,skincare,zenith,cash on delivery,mobile,paid ads,standard,express,central,winter,no,Sunday,1,61,62.18,3,35,65.29,15.91,16.5,153.66,2,5,541.16,29.72,45.67,0,2023,1,1,1,Not Returned
0,male,united kingdom,premium,electronics,laptop,ecolife,cash on delivery,desktop,referral,platinum,express,east,winter,no,Sunday,1,32,684.02,2,15,205.21,8.48,105.78,1277.09,2,5,25972.2,23.93,305.61,1,2023,1,1,1,Not Returned
0,male,united kingdom,loyal,home & kitchen,decor,apex,credit card,desktop,social media,standard,standard,central,winter,no,Sunday,1,46,100.89,2,5,10.09,1.78,15.6,209.07,7,3.7,4032.9,41.91,87.62,0,2023,1,1,1,Not Returned
0,female,germany,returning,sports,fitness,trendify,wallet,mobile,direct,standard,express,central,winter,no,Sunday,1,24,134.73,1,20,26.95,10.17,8.44,126.39,9,4.6,2279.79,17.02,21.51,0,2023,1,1,1,Not Returned
0,male,australia,loyal,electronics,laptop,freshmart,bank transfer,mobile,organic search,silver,express,north,winter,yes,Monday,1,44,285.7,3,5,42.86,14.33,94.74,923.31,5,4.5,13052.19,28.68,264.81,1,2023,1,2,2,Not Returned
0,female,australia,returning,groceries,dairy,zenith,bank transfer,mobile,referral,standard,pickup,west,winter,no,Monday,1,19,22.47,3,0,0,7.67,5.1,80.18,8,4.3,1098.77,25.93,20.79,0,2023,1,2,2,Not Returned
0,male,uae,new,fashion,shoes,valuemax,wallet,desktop,email,standard,same day,south,winter,no,Tuesday,1,42,35.49,3,0,0,20.63,4.57,131.67,0,5,956.43,17.1,22.52,0,2023,1,3,3,Not Returned
0,male,germany,loyal,electronics,laptop,trendify,bank transfer,mobile,email,platinum,pickup,north,winter,no,Tuesday,1,37,214.16,6,10,128.5,6.72,116.04,1279.22,5,4.7,24780.33,23.73,303.56,1,2023,1,3,3,Not Returned
0,male,canada,premium,electronics,headphones,ecolife,wallet,desktop,direct,silver,standard,west,winter,no,Wednesday,1,49,378.3,4,0,0,7.36,70.18,1590.74,5,4.1,24496.03,14,222.7,1,2023,1,4,4,Not Returned
0,male,saudi arabia,returning,fashion,shoes,apex,credit card,desktop,organic search,platinum,express,south,winter,no,Thursday,1,20,74.48,3,30,67.03,12.89,13.96,183.26,4,3.7,1758.8,13.04,23.9,0,2023,1,5,5,Not Returned
