returned,customer_gender,country,customer_segment,product_category,product_subcategory,brand,payment_method,device_type,traffic_source,membership_status,shipping_method,warehouse_region,season,holiday_season,day_of_week,quarter,customer_age,unit_price,quantity,discount_percent,discount_amount,shipping_cost,tax_amount,order_amount,delivery_days,review_rating,customer_lifetime_value,profit_margin_percent,profit_amount,high_value_order,order_year,order_month,order_day,order_dow
0,male,germany,loyal,books,comics,primeplus,debit card,mobile,social media,standard,express,north,winter,no,Sunday,1.0,32.0,18.44,3.0,10.0,5.53,15.5,2.91,68.2,2.0,4.4,2144.92,23.1,15.75,0.0,2023.0,1.0,1.0,1.0
0,male,france,returning,sports,equipment,primeplus,wallet,mobile,email,standard,standard,east,winter,no,Sunday,1.0,50.0,46.58,1.0,40.0,18.63,5.87,4.91,38.73,9.0,4.1,817.17,8.57,3.32,0.0,2023.0,1.0,1.0,1.0
0,male,india,returning,beauty,skincare,zenith,cash on delivery,mobile,paid ads,standard,express,central,winter,no,Sunday,1.0,61.0,62.18,3.0,35.0,65.29,15.91,16.5,153.66,2.0,5.0,541.16,29.72,45.67,0.0,2023.0,1.0,1.0,1.0
1,male,united states,returning,fashion,women clothing,freshmart,wallet,desktop,organic search,standard,standard,south,winter,no,Sunday,1.0,34.0,91.06,3.0,0.0,0.0,9.17,16.02,298.37,6.0,3.4,700.49,25.22,75.25,0.0,2023.0,1.0,1.0,1.0
0,male,india,premium,beauty,makeup,zenith,paypal,mobile,referral,standard,express,central,winter,no,Sunday,1.0,37.0,99.44,1.0,15.0,14.92,13.63,7.6,105.75,8.0,3.6,2133.77,24.64,26.06,0.0,2023.0,1.0,1.0,1.0
0,female,australia,new,home & kitchen,decor,nova,paypal,mobile,social media,standard,express,north,winter,no,Sunday,1.0,32.0,125.84,3.0,5.0,18.88,18.83,36.46,413.93,5.0,4.1,5844.78,30.29,125.38,1.0,2023.0,1.0,1.0,1.0
0,female,united states,returning,fashion,women clothing,urbanco,credit card,desktop,social media,gold,standard,west,winter,no,Sunday,1.0,25.0,34.17,3.0,0.0,0.0,3.44,10.31,116.26,6.0,5.0,1178.52,27.91,32.45,0.0,2023.0,1.0,1.0,1.0
0,female,canada,premium,fashion,women clothing,trendify,cash on delivery,tablet,organic search,silver,standard,east,winter,no,Sunday,1.0,38.0,149.41,1.0,30.0,44.82,6.35,5.94,116.88,6.0,4.1,2535.68,10.14,11.85,0.0,2023.0,1.0,1.0,1.0
0,female,germany,returning,home & kitchen,cookware,zenith,debit card,mobile,direct,standard,standard,north,winter,no,Sunday,1.0,48.0,100.86,1.0,0.0,0.0,2.36,3.1,106.32,5.0,3.4,598.88,17.93,19.06,0.0,2023.0,1.0,1.0,1.0
0,other,saudi arabia,returning,beauty,makeup,trendify,cash on delivery,mobile,social media,silver,standard,north,winter,no,Sunday,1.0,31.0,35.21,5.0,5.0,8.8,12.32,5.71,185.28,6.0,4.5,1050.17,31.95,59.2,0.0,2023.0,1.0,1.0,1.0
0,female,canada,new,groceries,beverages,ecolife,paypal,mobile,organic search,standard,express,west,winter,no,Sunday,1.0,29.0,13.69,1.0,5.0,0.68,14.8,1.5,29.31,4.0,4.8,192.4,17.72,5.19,0.0,2023.0,1.0,1.0,1.0
0,female,india,returning,fashion,women clothing,ecolife,paypal,desktop,email,standard,standard,west,winter,no,Sunday,1.0,63.0,66.05,3.0,10.0,19.81,5.14,7.97,191.45,2.0,3.5,2278.8,20.77,39.76,0.0,2023.0,1.0,1.0,1.0
0,female,canada,loyal,groceries,dairy,quickcart,bank transfer,mobile,email,standard,standard,south,winter,no,Sunday,1.0,29.0,11.54,2.0,20.0,4.62,8.89,0.98,28.33,3.0,3.6,939.28,24.91,7.06,0.0,2023.0,1.0,1.0,1.0
